"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-25","0.00","98","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-26","0.00","100","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-27","0.00","103","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-28","0.00","94","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-29","0.00","95","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-30","0.00","98","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-31","1.16","100","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-01","0.00","92","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-02","0.15","90","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-03","0.00","89","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-04","0.00","95","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-05","0.00","96","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-06","0.00","93","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-07","0.00","94","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-08","0.03","94","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-09","0.27","87","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-10","0.79","83","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-11","1.27","80","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-12","0.25","78","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-13","1.75","81","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-14","0.00","91","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-09-15","0.07","91","75"
