"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths"
"381","1993-09",1.5,90.8214285714286,73.4642857142857,82.1428571428571,123,1306
"382","1993-10",11.67,81.2285714285714,63.0285714285714,72.1285714285714,138,1781
"383","1993-11",7.13,66.5,49.6071428571429,58.0535714285714,112,1265
"384","1993-12",2.31,65.1428571428572,48.3928571428572,56.7678571428571,153,1466
"385","1994-01",2.62,62.8857142857143,45.5428571428571,54.2142857142857,213,2130
"386","1994-02",1.08,64.2857142857143,47.0357142857143,55.6607142857143,162,1463
"387","1994-03",1.69,72.8571428571428,55,63.9285714285714,161,1487
"388","1994-04",4.26,76.8571428571429,59.3714285714286,68.1142857142857,178,1883
"389","1994-05",7.19,83.3214285714286,66.8571428571428,75.0892857142857,110,1548
"390","1994-06",7.34,88.6428571428572,73.3928571428572,81.0178571428571,97,1350
"391","1994-07",0.36,93.2,75.3714285714286,84.2857142857143,131,1816
"392","1994-08",3.82,90.3214285714286,74.0714285714286,82.1964285714286,130,1399
"393","1994-09",1.85,88.1071428571428,71.4285714285714,79.7678571428572,101,1344
"394","1994-10",19.4,81.8571428571428,63.6857142857143,72.7714285714286,159,1591
"395","1994-11",0.32,76.0357142857143,58.0714285714286,67.0535714285714,107,1206
"396","1994-12",8.73,66.3714285714286,50.9142857142857,58.6428571428571,170,1889
"397","1995-01",6.13,63.9285714285714,46.3214285714286,55.125,146,1466
"398","1995-02",1.22,67.1428571428572,47.1071428571429,57.125,185,1559
"399","1995-03",5.02,71.1071428571428,54.0357142857143,62.5714285714286,146,1343
"400","1995-04",5.37,76.2,57.1714285714286,66.6857142857143,150,1787
"401","1995-05",2.83,85.3214285714286,69.2142857142857,77.2678571428572,118.5,1451
"402","1995-06",6.63,88.0357142857143,70.8928571428572,79.4642857142857,98,1309
"403","1995-07",5.5,92.4,74.9714285714286,83.6857142857143,111,1702
"404","1995-08",2.32,91.7857142857143,76.1428571428572,83.9642857142857,83,1389
"405","1995-09",4.72,91.4571428571429,73,82.2285714285714,116,1489
"406","1995-10",2.07,81.8214285714286,61.5357142857143,71.6785714285714,113,1357
"407","1995-11",5.07,72.1428571428571,54.2142857142857,63.1785714285714,72,1071
"408","1995-12",6.61,65.6571428571428,48.4571428571429,57.0571428571429,160,1864
"409","1996-01",1.74,63.1785714285715,41.5357142857143,52.3571428571429,136,1481
