"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00116616","PARK FOREST, IL US","1962-11-06","0.11","49","29"
"USC00116616","PARK FOREST, IL US","1962-11-07","0.00","54","33"
"USC00116616","PARK FOREST, IL US","1962-11-08","0.00","45","31"
"USC00116616","PARK FOREST, IL US","1962-11-09","0.00","50","25"
"USC00116616","PARK FOREST, IL US","1962-11-10","0.00","53","35"
"USC00116616","PARK FOREST, IL US","1962-11-11","0.00","54","36"
"USC00116616","PARK FOREST, IL US","1962-11-12","0.00","48","32"
"USC00116616","PARK FOREST, IL US","1962-11-13","0.00","56","29"
"USC00116616","PARK FOREST, IL US","1962-11-14","0.00","60","30"
"USC00116616","PARK FOREST, IL US","1962-11-15","0.22","56","45"
"USC00116616","PARK FOREST, IL US","1962-11-16","0.65","49","41"
"USC00116616","PARK FOREST, IL US","1962-11-17","0.02","43","36"
"USC00116616","PARK FOREST, IL US","1962-11-18","0.00","42","33"
"USC00116616","PARK FOREST, IL US","1962-11-19","0.07","42","34"
"USC00116616","PARK FOREST, IL US","1962-11-20","0.00","46","36"
"USC00116616","PARK FOREST, IL US","1962-11-21","0.00","55","38"
"USC00116616","PARK FOREST, IL US","1962-11-22","0.00","38","24"
"USC00116616","PARK FOREST, IL US","1962-11-23","0.00","53","24"
"USC00116616","PARK FOREST, IL US","1962-11-24","0.00","46","23"
"USC00116616","PARK FOREST, IL US","1962-11-25","0.00","51","24"
"USC00116616","PARK FOREST, IL US","1962-11-26","0.00","54","26"
"USC00116616","PARK FOREST, IL US","1962-11-27","0.00","48","31"
"USC00116616","PARK FOREST, IL US","1962-11-28","0.00","57","32"
"USC00116616","PARK FOREST, IL US","1962-11-29","0.00","58","29"
"USC00116616","PARK FOREST, IL US","1962-11-30","0.00","67","34"
"USC00116616","PARK FOREST, IL US","1962-12-01","0.00","64","37"
"USC00116616","PARK FOREST, IL US","1962-12-02","0.00","61","35"
"USC00116616","PARK FOREST, IL US","1962-12-03","0.00","60","39"
"USC00116616","PARK FOREST, IL US","1962-12-04","0.07","55","34"
"USC00116616","PARK FOREST, IL US","1962-12-05","0.00","35","25"
"USC00116616","PARK FOREST, IL US","1962-12-06","0.00","27","22"
"USC00116616","PARK FOREST, IL US","1962-12-07","0.00","28","20"
"USC00116616","PARK FOREST, IL US","1962-12-08","0.00","31","19"
"USC00116616","PARK FOREST, IL US","1962-12-09","0.00","22","12"
"USC00116616","PARK FOREST, IL US","1962-12-10","0.00","12","4"
"USC00116616","PARK FOREST, IL US","1962-12-11","0.00","7","-4"
"USC00116616","PARK FOREST, IL US","1962-12-12","0.00","10","-8"
"USC00116616","PARK FOREST, IL US","1962-12-13","0.00","20","0"
"USC00116616","PARK FOREST, IL US","1962-12-14","0.00","27","3"
"USC00116616","PARK FOREST, IL US","1962-12-15","0.00","36","20"
"USC00116616","PARK FOREST, IL US","1962-12-16","0.00","37","26"
"USC00116616","PARK FOREST, IL US","1962-12-17","0.00","48","26"
"USC00116616","PARK FOREST, IL US","1962-12-18","0.00","55","30"
"USC00116616","PARK FOREST, IL US","1962-12-19","0.00","44","34"
"USC00116616","PARK FOREST, IL US","1962-12-20","0.00","36","21"
"USC00116616","PARK FOREST, IL US","1962-12-21","0.12","27","21"
"USC00116616","PARK FOREST, IL US","1962-12-22","0.00","35","13"
"USC00116616","PARK FOREST, IL US","1962-12-23","0.00","26","3"
"USC00116616","PARK FOREST, IL US","1962-12-24","0.00","27","3"
"USC00116616","PARK FOREST, IL US","1962-12-25","0.05","25","9"
"USC00116616","PARK FOREST, IL US","1962-12-26","0.00","9","-8"
"USC00116616","PARK FOREST, IL US","1962-12-27","0.00","27","0"
"USC00116616","PARK FOREST, IL US","1962-12-28","0.00","34","5"
"USC00116616","PARK FOREST, IL US","1962-12-29","0.00","34","4"
"USC00116616","PARK FOREST, IL US","1962-12-30","0.00","20","8"
"USC00116616","PARK FOREST, IL US","1962-12-31","0.00","22","8"
"USC00116616","PARK FOREST, IL US","1963-01-01","0.00","25","15"
"USC00116616","PARK FOREST, IL US","1963-01-02","0.00","30","23"
"USC00116616","PARK FOREST, IL US","1963-01-03","0.00","32","25"
"USC00116616","PARK FOREST, IL US","1963-01-04","0.00","35","26"
"USC00116616","PARK FOREST, IL US","1963-01-05","0.00","33","27"
"USC00116616","PARK FOREST, IL US","1963-01-06","0.00","35","24"
"USC00116616","PARK FOREST, IL US","1963-01-07","0.00","33","23"
"USC00116616","PARK FOREST, IL US","1963-01-08","0.00","42","30"
"USC00116616","PARK FOREST, IL US","1963-01-09","0.00","41","33"
"USC00116616","PARK FOREST, IL US","1963-01-10","0.00","36","30"
"USC00116616","PARK FOREST, IL US","1963-01-11","0.22","31","23"
"USC00116616","PARK FOREST, IL US","1963-01-12","0.00","25","-3"
"USC00116616","PARK FOREST, IL US","1963-01-13","0.00","10","-7"
"USC00116616","PARK FOREST, IL US","1963-01-14","0.00","11","-9"
"USC00116616","PARK FOREST, IL US","1963-01-15","0.00","0","-13"
"USC00116616","PARK FOREST, IL US","1963-01-16","0.00","16","-10"
"USC00116616","PARK FOREST, IL US","1963-01-17","0.00","30","3"
"USC00116616","PARK FOREST, IL US","1963-01-18","0.00","30","3"
"USC00116616","PARK FOREST, IL US","1963-01-19","0.40","15","2"
"USC00116616","PARK FOREST, IL US","1963-01-20","0.00","6","-10"
"USC00116616","PARK FOREST, IL US","1963-01-21","0.05","14","-17"
"USC00116616","PARK FOREST, IL US","1963-01-22","0.24","22","-4"
"USC00116616","PARK FOREST, IL US","1963-01-23","0.00","-4","-17"
"USC00116616","PARK FOREST, IL US","1963-01-24","0.00","4","-16"
"USC00116616","PARK FOREST, IL US","1963-01-25","0.00","11","-8"
"USC00116616","PARK FOREST, IL US","1963-01-26","0.05","16","-2"
"USC00116616","PARK FOREST, IL US","1963-01-27","0.00","5","-11"
"USC00116616","PARK FOREST, IL US","1963-01-28","0.00","8","-16"
"USC00116616","PARK FOREST, IL US","1963-01-29","0.00","19","1"
"USC00116616","PARK FOREST, IL US","1963-01-30","0.10","12","-5"
